ERR234272	MTBC;L1
ERR234156	MTBC;L1;1;1
ERR751769	MTBC;L1;1;1
ERR718408	MTBC;L1;1;1;3
ERR768021	MTBC;L1;1;1;4
ERR751951	MTBC;L1;1;1;5
ERR751749	MTBC;L1;1;1;6
ERR718229	MTBC;L1;1;1;7
ERR752133	MTBC;L1;1;1;7
ERR752161	MTBC;L1;1;1;7
ERR718371	MTBC;L1;1;1;7
ERR718201	MTBC;L1;1;1;8
ERR718331	MTBC;L1;1;1;8
ERR768039	MTBC;L1;1;1;9
ERR718381	MTBC;L1;1;1;9
ERR718209	MTBC;L1;1;1;9
ERR718235	MTBC;L1;1;2;1
ERR775792	MTBC;L1;1;2;1
ERR718436	MTBC;L1;1;2;2
ERR234185	MTBC;L1;1;2;2
ERR752154	MTBC;L1;1;2;2
ERR037473	MTBC;L1;1;2;2
ERR234205	MTBC;L1;1;2;2
ERR2704680	MTBC;L1;1;2;2
ERR751737	MTBC;L1;1;2;2
ERR234165	MTBC;L1;1;2;2
ERR036222	MTBC;L1;1;3
ERR036230	MTBC;L1;1;3
ERR752166	MTBC;L1;1;3;1
ERR752005	MTBC;L1;1;3;1
ERR234197	MTBC;L1;1;3;1
ERR718544	MTBC;L1;1;3;1
ERR718388	MTBC;L1;1;3;1
ERR751669	MTBC;L1;1;3;2
ERR752163	MTBC;L1;1;3;3
ERR234262	MTBC;L1;2;1
ERR751771	MTBC;L1;2;1;1
ERR718394	MTBC;L1;2;1;1
ERR751722	MTBC;L1;2;1;2
ERR751990	MTBC;L1;2;1;2
ERR751657	MTBC;L1;2;1;2
ERR775762	MTBC;L1;2;1;2
ERR752162	MTBC;L1;2;1;2
ERR234266	MTBC;L1;2;1;3
ERR718466	MTBC;L1;2;1;3
ERR234164	MTBC;L1;2;2
ERR751953	MTBC;L1;2;2
ERR718502	MTBC;L1;2;2
ERR036223	MTBC;L1;2;2
ERR718554	MTBC;L1;2;2
ERR718354	MTBC;L1;2;2
ERR752054	MTBC;L1;2;2
ERR751739	MTBC;L1;2;2
ERR046898	MTBC;L1;2;2
ERR234191	MTBC;L1;2;2
SRR1710060	MTBC;L2;1
ERR2704676	MTBC;L2;1
ERR234216	MTBC;L2;1
ERR234252	MTBC;L2;1
ERR234248	MTBC;L2;1
ERR234105	MTBC;L2;2;1
ERR2704702	MTBC;L2;2;1;1
SRR671795	MTBC;L2;2;1;2;1
