ERR234272	Mycobacterium;MTBC;L1
ERR234156	Mycobacterium;MTBC;L1;1;1
ERR751769	Mycobacterium;MTBC;L1;1;1
ERR718408	Mycobacterium;MTBC;L1;1;1;3
ERR768021	Mycobacterium;MTBC;L1;1;1;4
ERR751951	Mycobacterium;MTBC;L1;1;1;5
ERR751749	Mycobacterium;MTBC;L1;1;1;6
ERR718229	Mycobacterium;MTBC;L1;1;1;7
ERR752133	Mycobacterium;MTBC;L1;1;1;7
ERR752161	Mycobacterium;MTBC;L1;1;1;7
ERR718371	Mycobacterium;MTBC;L1;1;1;7
ERR718201	Mycobacterium;MTBC;L1;1;1;8
ERR718331	Mycobacterium;MTBC;L1;1;1;8
ERR768039	Mycobacterium;MTBC;L1;1;1;9
ERR718381	Mycobacterium;MTBC;L1;1;1;9
ERR718209	Mycobacterium;MTBC;L1;1;1;9
ERR718235	Mycobacterium;MTBC;L1;1;2;1
ERR775792	Mycobacterium;MTBC;L1;1;2;1
ERR718436	Mycobacterium;MTBC;L1;1;2;2
ERR234185	Mycobacterium;MTBC;L1;1;2;2
ERR752154	Mycobacterium;MTBC;L1;1;2;2
ERR037473	Mycobacterium;MTBC;L1;1;2;2
ERR234205	Mycobacterium;MTBC;L1;1;2;2
ERR2704680	Mycobacterium;MTBC;L1;1;2;2
ERR751737	Mycobacterium;MTBC;L1;1;2;2
ERR234165	Mycobacterium;MTBC;L1;1;2;2
ERR036222	Mycobacterium;MTBC;L1;1;3
ERR036230	Mycobacterium;MTBC;L1;1;3
ERR752166	Mycobacterium;MTBC;L1;1;3;1
ERR752005	Mycobacterium;MTBC;L1;1;3;1
ERR234197	Mycobacterium;MTBC;L1;1;3;1
ERR718544	Mycobacterium;MTBC;L1;1;3;1
ERR718388	Mycobacterium;MTBC;L1;1;3;1
ERR751669	Mycobacterium;MTBC;L1;1;3;2
ERR752163	Mycobacterium;MTBC;L1;1;3;3
ERR234262	Mycobacterium;MTBC;L1;2;1
ERR751771	Mycobacterium;MTBC;L1;2;1;1
ERR718394	Mycobacterium;MTBC;L1;2;1;1
ERR751722	Mycobacterium;MTBC;L1;2;1;2
ERR751990	Mycobacterium;MTBC;L1;2;1;2
ERR751657	Mycobacterium;MTBC;L1;2;1;2
ERR775762	Mycobacterium;MTBC;L1;2;1;2
ERR752162	Mycobacterium;MTBC;L1;2;1;2
ERR234266	Mycobacterium;MTBC;L1;2;1;3
ERR718466	Mycobacterium;MTBC;L1;2;1;3
ERR234164	Mycobacterium;MTBC;L1;2;2
ERR751953	Mycobacterium;MTBC;L1;2;2
ERR718502	Mycobacterium;MTBC;L1;2;2
ERR036223	Mycobacterium;MTBC;L1;2;2
ERR718554	Mycobacterium;MTBC;L1;2;2
ERR718354	Mycobacterium;MTBC;L1;2;2
ERR752054	Mycobacterium;MTBC;L1;2;2
ERR751739	Mycobacterium;MTBC;L1;2;2
ERR046898	Mycobacterium;MTBC;L1;2;2
ERR234191	Mycobacterium;MTBC;L1;2;2
SRR1710060	Mycobacterium;MTBC;L2;1
ERR2704676	Mycobacterium;MTBC;L2;1
ERR234216	Mycobacterium;MTBC;L2;1
ERR234252	Mycobacterium;MTBC;L2;1
ERR234248	Mycobacterium;MTBC;L2;1
ERR234105	Mycobacterium;MTBC;L2;2;1
ERR2704702	Mycobacterium;MTBC;L2;2;1;1
SRR671795	Mycobacterium;MTBC;L2;2;1;2;1
ERR234112	Mycobacterium;MTBC;L2;2;1;2;2
ERR234129	Mycobacterium;MTBC;L2;2;1;2;2
ERR234210	Mycobacterium;MTBC;L2;2;1;2;2;2
SRR849475	Mycobacterium;MTBC;L2;2;1;2;2;3;1
ERR067702	Mycobacterium;MTBC;L2;2;1;2;2;3;2;1
ERR234102	Mycobacterium;MTBC;L2;2;1;2;2;4
ERR234263	Mycobacterium;MTBC;L2;2;1;2;2;4;1
ERR234190	Mycobacterium;MTBC;L2;2;1;2;2;5
ERR552177	Mycobacterium;MTBC;L2;2;2
ERR551636	Mycobacterium;MTBC;L2;2;2
ERR2704699	Mycobacterium;MTBC;L2;2;2
ERR234211	Mycobacterium;MTBC;L2;2;2
ERR234219	Mycobacterium;MTBC;L3
ERR234109	Mycobacterium;MTBC;L3
ERR234178	Mycobacterium;MTBC;L3
ERR234179	Mycobacterium;MTBC;L3
ERR036209	Mycobacterium;MTBC;L3
ERR234218	Mycobacterium;MTBC;L3
ERR245747	Mycobacterium;MTBC;L3
ERR234153	Mycobacterium;MTBC;L3
ERR2704693	Mycobacterium;MTBC;L3
ERR234234	Mycobacterium;MTBC;L3
ERR502535	Mycobacterium;MTBC;L3
ERR2245388	Mycobacterium;MTBC;L3;1;1
ERR2245421	Mycobacterium;MTBC;L3;1;1
ERR2245409	Mycobacterium;MTBC;L3;1;1
ERR2245380	Mycobacterium;MTBC;L3;1;1
ERR234167	Mycobacterium;MTBC;L3;1;1
ERR234192	Mycobacterium;MTBC;L3;1;2;1
ERR751340	Mycobacterium;MTBC;L4;1
ERR2653019	Mycobacterium;MTBC;L4;1;1;1
ERR072087	Mycobacterium;MTBC;L4;1;1;3
ERR2652972	Mycobacterium;MTBC;L4;1;2
SRR5073877	Mycobacterium;MTBC;L4;1;2;1
ERR552680	Mycobacterium;MTBC;L4;1;2;1
ERR234259	Mycobacterium;MTBC;L4;1;2;1
ERR234170	Mycobacterium;MTBC;L4;1;2;1
SRR5073565	Mycobacterium;MTBC;L4;1;2;1
ERR2653148	Mycobacterium;MTBC;L4;1;2;1
ERR2653128	Mycobacterium;MTBC;L4;1;2;1
ERR757147	Mycobacterium;MTBC;L4;1;2;1
ERR067645	Mycobacterium;MTBC;L4;2;1
ERR552448	Mycobacterium;MTBC;L4;2;2
ERR028615	Mycobacterium;MTBC;L4;2;2;1
SRR5067407	Mycobacterium;MTBC;L4;3;1
ERR751607	Mycobacterium;MTBC;L4;3;2
ERR751561	Mycobacterium;MTBC;L4;3;2
SRR974839	Mycobacterium;MTBC;L4;3;2;1
ERR234258	Mycobacterium;MTBC;L4;3;3
SRR1144800	Mycobacterium;MTBC;L4;3;3
ERR751609	Mycobacterium;MTBC;L4;3;3
ERR2653145	Mycobacterium;MTBC;L4;3;3
ERR2653010	Mycobacterium;MTBC;L4;3;3
ERR553316	Mycobacterium;MTBC;L4;3;3
ERR036187	Mycobacterium;MTBC;L4;3;4;1
ERR2653154	Mycobacterium;MTBC;L4;3;4;1
ERR245848	Mycobacterium;MTBC;L4;3;4;2;1
ERR2653229	Mycobacterium;MTBC;L4;4;1
SRR5073887	Mycobacterium;MTBC;L4;4;1;1
ERR257899	Mycobacterium;MTBC;L4;4;1;2
SRR5067373	Mycobacterium;MTBC;L4;4;2
SRR5073675	Mycobacterium;MTBC;L4;4;2
ERR234183	Mycobacterium;MTBC;L4;4;2
SRR5073715	Mycobacterium;MTBC;L4;5
SRR5065316	Mycobacterium;MTBC;L4;5
SRR5067674	Mycobacterium;MTBC;L4;5
SRR5065268	Mycobacterium;MTBC;L4;5
SRR5073746	Mycobacterium;MTBC;L4;5
SRR5067415	Mycobacterium;MTBC;L4;5
ERR551416	Mycobacterium;MTBC;L4;6;1;1
ERR551583	Mycobacterium;MTBC;L4;6;1;2
ERR040131	Mycobacterium;MTBC;L4;6;1;2
ERR234163	Mycobacterium;MTBC;L4;6;1;2
ERR551253	Mycobacterium;MTBC;L4;6;1;2
ERR502488	Mycobacterium;MTBC;L4;6;2;2
ERR751346	Mycobacterium;MTBC;L4;6;2;2
ERR2704689	Mycobacterium;MTBC;L4;6;2;2
ERR2704705	Mycobacterium;MTBC;L4;6;2;2
ERR234159	Mycobacterium;MTBC;L4;6;2;2
ERR2652992	Mycobacterium;MTBC;L4;7
ERR550939	Mycobacterium;MTBC;L4;7
ERR2653002	Mycobacterium;MTBC;L4;8
SRR5073940	Mycobacterium;MTBC;L4;8
ERR1203071	Mycobacterium;MTBC;L4;8
ERR2724042	Mycobacterium;MTBC;L4;8
SRR7765063	Mycobacterium;MTBC;L4;8
ERR2652941	Mycobacterium;MTBC;L4;9
SRR6407486	Mycobacterium;MTBC;L4;9
ERR979065	Mycobacterium;MTBC;L4;9
ERR3170399	Mycobacterium;MTBC;L5;1
ERR2512532	Mycobacterium;MTBC;L5;1
ERR4162005	Mycobacterium;MTBC;L5;1
SRR7131291	Mycobacterium;MTBC;L5;1
ERR552506	Mycobacterium;MTBC;L5;1
ERR1082115	Mycobacterium;MTBC;L5;1;1
ERR1203061	Mycobacterium;MTBC;L5;1;1
ERR1082129	Mycobacterium;MTBC;L5;1;2
ERR439937	Mycobacterium;MTBC;L5;1;2
ERR4192368	Mycobacterium;MTBC;L5;1;3
ERR1023217	Mycobacterium;MTBC;L5;1;3
ERR3170483	Mycobacterium;MTBC;L5;1;4
ERR502513	Mycobacterium;MTBC;L5;1;4
ERR702435	Mycobacterium;MTBC;L5;1;4
ERR1215473	Mycobacterium;MTBC;L5;1;5
ERR439953	Mycobacterium;MTBC;L5;1;5
ERR2704812	Mycobacterium;MTBC;L5;2
ERR3170475	Mycobacterium;MTBC;L5;2
ERR551005	Mycobacterium;MTBC;L5;2
ERR3148046	Mycobacterium;MTBC;L5;3
ERR439961	Mycobacterium;MTBC;L5;3
ERR4192403	Mycobacterium;MTBC;L5;3
SRR998645	Mycobacterium;MTBC;L6
SRR998631	Mycobacterium;MTBC;L6
ERR1082136	Mycobacterium;MTBC;L6
SRR1577819	Mycobacterium;MTBC;L6
ERR234184	Mycobacterium;MTBC;L6
ERR1082113	Mycobacterium;MTBC;L6
ERR159959	Mycobacterium;MTBC;L7
ERR159958	Mycobacterium;MTBC;L7
ERR1971863	Mycobacterium;MTBC;L7
ERR2704710	Mycobacterium;MTBC;L7
ERR1971857	Mycobacterium;MTBC;L7
ERR1971871	Mycobacterium;MTBC;L7
ERR1971874	Mycobacterium;MTBC;L7
ERR1971854	Mycobacterium;MTBC;L7
ERR2704711	Mycobacterium;MTBC;L7
ERR1971872	Mycobacterium;MTBC;L7
SRR3647357	Mycobacterium;MTBC;microti
SRR7693584	Mycobacterium;MTBC;pinnipedii
ERR502499	Mycobacterium;MTBC;bovis
ERR1462634	Mycobacterium;MTBC;caprae
SRR6045425	Mycobacterium;MTBC;orygis
smegmatis	Mycobacterium;smegmatis
gordonae	Mycobacterium;gordonae
marinum	Mycobacterium;marinum
intracellulare	Mycobacterium;intracellulare
avium	Mycobacterium;avium
